issue_key,title,description_text,type,priority,status,resolution,story_point,comment_text,project_name
PROJ-804,"Add customizable workspace layouts","As a power user, I want to arrange my workspace panels so that I can optimize my workflow for my specific tasks.",Story,Major,Open,Unresolved,8,"Drag-and-drop panel arrangement. Save layouts per user. Provide default layouts for common workflows.",UserExperience
PROJ-805,"Implement undo/redo system","As a user, I want to undo and redo actions so that I can quickly correct mistakes without navigating to edit forms.",Story,Major,In Progress,Unresolved,8,"Command pattern for action history. Support multi-level undo (at least 20 steps). Persist across page navigations.",UserExperience
PROJ-901,"Set up automated security scanning","As a security engineer, I want automated vulnerability scanning so that security issues are caught before deployment.",Story,Major,Closed,Done,5,"SAST in CI pipeline. Dependency audit on every build. DAST against staging environment weekly.",SecurityOps
PROJ-902,"Implement audit logging","As a compliance officer, I want comprehensive audit logs so that all system actions are traceable.",Story,Major,Closed,Done,8,"Log who did what and when and from where. Immutable append-only storage. Retention policy: 7 years for financial data.",SecurityOps
PROJ-903,"Fix XSS vulnerability in user input","User-generated content rendered without sanitization allows script injection.",Bug,Critical,Closed,Fixed,3,"Sanitize all user input server-side. Use Content-Security-Policy headers. Encode output contextually (HTML/JS/URL).",SecurityOps
PROJ-904,"Add two-factor authentication","As a security-conscious user, I want 2FA so that my account is protected even if my password is compromised.",Story,Major,Closed,Done,8,"TOTP-based (Google Authenticator compatible). Backup codes for recovery. Enforce for admin accounts.",SecurityOps
PROJ-905,"Implement secrets management","As a DevOps engineer, I want centralized secrets management so that credentials are not stored in code or config files.",Story,Major,Open,Unresolved,5,"HashiCorp Vault or AWS Secrets Manager. Rotate secrets automatically. Audit access to secrets.",SecurityOps
PROJ-1001,"Create performance testing framework","As a QA engineer, I want automated performance tests so that regressions are detected before production.",Story,Major,Closed,Done,8,"k6 or JMeter for load testing. Baseline metrics for key flows. Run against staging on every release candidate.",QualityAssurance
PROJ-1002,"Implement visual regression testing","As a QA engineer, I want automated visual comparisons so that UI changes are detected and reviewed.",Story,Major,Open,Unresolved,5,"Percy or Chromatic integration. Screenshot comparison for key pages. Acceptable diff threshold: 0.1%.",QualityAssurance
PROJ-1003,"Fix flaky integration tests","Integration test suite has 15% failure rate due to timing issues and test data contamination.",Bug,Major,Closed,Fixed,5,"Isolate test data per test case. Use deterministic waits instead of sleep. Reset state in beforeEach not afterAll.",QualityAssurance
PROJ-1004,"Add API contract testing","As a developer, I want API contract tests so that breaking changes to APIs are detected immediately.",Story,Major,Closed,Done,5,"Pact or similar consumer-driven contract testing. Generate contracts from OpenAPI spec. Run in CI on every PR.",QualityAssurance
PROJ-1005,"Implement chaos engineering practices","As a SRE, I want controlled failure injection so that we can verify system resilience under adverse conditions.",Story,Major,Open,Unresolved,13,"Start with simple experiments: kill random pods and inject network latency. Gradually increase blast radius.",QualityAssurance
PROJ-1101,"Design microservice communication patterns","As an architect, I want standardized inter-service communication so that services can evolve independently.",Story,Major,Closed,Done,8,"Synchronous: gRPC for internal and REST for external. Asynchronous: message queue for event-driven flows.",Architecture
PROJ-1102,"Implement circuit breaker pattern","As a developer, I want circuit breakers on external calls so that cascading failures are prevented.",Story,Major,Closed,Done,5,"Three states: closed and open and half-open. Configure thresholds per dependency. Expose metrics for monitoring.",Architecture
PROJ-1103,"Fix service discovery inconsistency","Services intermittently fail to discover peers after deployment causing request routing failures.",Bug,Major,Closed,Fixed,5,"DNS-based discovery TTL too aggressive. Increase TTL and add client-side caching with background refresh.",Architecture
PROJ-1104,"Add health check endpoints","As a platform engineer, I want standardized health checks so that orchestrators can manage service lifecycle correctly.",Task,Minor,Closed,Done,2,"Liveness: is process alive. Readiness: can accept traffic. Include dependency checks in readiness probe.",Architecture
PROJ-1105,"Implement event-driven architecture","As an architect, I want event-driven communication between services so that they are loosely coupled and independently deployable.",Story,Major,In Progress,Unresolved,13,"Event bus with guaranteed delivery. Schema registry for event contracts. Dead letter queue for failed processing.",Architecture
PROJ-1201,"Create admin user management panel","As an admin, I want to manage users from a web interface so that I do not need database access for routine operations.",Story,Major,Closed,Done,8,"CRUD operations for users. Bulk import via CSV. Role assignment interface. Activity log per user.",AdminPanel
PROJ-1202,"Implement system configuration UI","As an admin, I want to modify system settings through the UI so that configuration changes do not require redeployment.",Story,Major,Closed,Done,5,"Group settings by category. Validate before save. Show which settings require restart. Audit config changes.",AdminPanel
PROJ-1203,"Fix admin panel performance with large user base","Admin panel becomes unresponsive when user count exceeds 10000 due to loading all users at once.",Bug,Major,Closed,Fixed,3,"Server-side pagination with cursor-based approach. Virtual scrolling on client. Debounced search filter.",AdminPanel
PROJ-1204,"Add system health dashboard","As an admin, I want a health overview dashboard so that I can quickly assess system status without checking multiple tools.",Story,Major,Open,Unresolved,8,"Aggregate metrics from all services. Traffic light status indicators. Auto-refresh every 30 seconds.",AdminPanel
PROJ-1205,"Implement backup and restore functionality","As an admin, I want automated backups with easy restore so that data can be recovered in case of failure.",Story,Major,Open,Unresolved,8,"Scheduled backups with configurable retention. Point-in-time recovery. Test restores automatically.",AdminPanel
PROJ-1301,"Implement email notification service","As a user, I want email notifications for important events so that I stay informed even when not actively using the system.",Story,Major,Closed,Done,5,"Template-based emails. Queue for reliable delivery. Unsubscribe link in every email. SPF/DKIM for deliverability.",NotificationService
PROJ-1302,"Add push notification support","As a mobile user, I want push notifications so that I receive timely updates on my device.",Story,Major,Open,Unresolved,8,"Firebase Cloud Messaging for cross-platform. Web Push API for browser. Respect quiet hours per user timezone.",NotificationService
PROJ-1303,"Fix email delivery delays","Emails are delayed by 30+ minutes during peak hours due to synchronous sending in the request lifecycle.",Bug,Major,Closed,Fixed,3,"Move to async queue-based delivery. Process queue with dedicated worker. Monitor queue depth and alert on backlog.",NotificationService
PROJ-1304,"Implement notification batching","As a user, I want notification digests so that I receive a summary instead of individual notifications for related events.",Story,Minor,Open,Unresolved,5,"Configurable batch window (5min/1hr/daily). Group by source/type. Smart summary generation.",NotificationService
PROJ-1305,"Create notification center UI","As a user, I want a centralized notification inbox so that I can review all notifications in one place.",Story,Major,Closed,Done,5,"Mark as read/unread. Filter by type. Clear all. Badge count on navigation icon. Persistent across sessions.",NotificationService
